Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,169,8,Some Random Commen with Id 0
1,0,9,86,4,Some Random Commen with Id 1
2,0,9,40,8,Some Random Commen with Id 2
3,0,9,82,8,Some Random Commen with Id 3
4,0,9,124,9,Some Random Commen with Id 4
5,0,9,73,2,Some Random Commen with Id 5
6,1,4,163,8,Some Random Commen with Id 6
7,1,4,120,7,Some Random Commen with Id 7
8,1,4,82,0,Some Random Commen with Id 8
9,1,4,165,4,Some Random Commen with Id 9
10,1,4,159,9,Some Random Commen with Id 10
11,1,4,39,9,Some Random Commen with Id 11
12,1,4,83,3,Some Random Commen with Id 12
13,1,4,12,7,Some Random Commen with Id 13
14,1,4,95,3,Some Random Commen with Id 14
15,2,6,51,7,Some Random Commen with Id 15
16,2,6,2,4,Some Random Commen with Id 16
17,2,6,59,5,Some Random Commen with Id 17
18,2,6,190,9,Some Random Commen with Id 18
19,2,6,128,0,Some Random Commen with Id 19
20,2,6,172,9,Some Random Commen with Id 20
21,2,6,98,6,Some Random Commen with Id 21
22,2,6,58,5,Some Random Commen with Id 22
23,2,6,51,9,Some Random Commen with Id 23
24,3,5,167,9,Some Random Commen with Id 24
25,3,5,71,1,Some Random Commen with Id 25
26,3,5,56,9,Some Random Commen with Id 26
27,3,5,172,8,Some Random Commen with Id 27
28,3,5,109,0,Some Random Commen with Id 28
29,3,5,110,3,Some Random Commen with Id 29
30,3,5,90,2,Some Random Commen with Id 30
31,3,5,112,9,Some Random Commen with Id 31
32,3,5,27,9,Some Random Commen with Id 32
33,4,1,19,5,Some Random Commen with Id 33
34,4,1,58,1,Some Random Commen with Id 34
35,4,1,169,4,Some Random Commen with Id 35
36,5,0,81,8,Some Random Commen with Id 36
37,5,0,131,6,Some Random Commen with Id 37
38,5,0,57,1,Some Random Commen with Id 38
39,5,0,77,7,Some Random Commen with Id 39
40,5,0,162,9,Some Random Commen with Id 40
41,5,0,91,8,Some Random Commen with Id 41
42,5,0,70,8,Some Random Commen with Id 42
43,6,0,17,7,Some Random Commen with Id 43
44,6,0,142,0,Some Random Commen with Id 44
45,6,0,31,4,Some Random Commen with Id 45
46,6,0,92,8,Some Random Commen with Id 46
47,6,0,37,9,Some Random Commen with Id 47
48,6,0,138,6,Some Random Commen with Id 48
49,7,0,195,4,Some Random Commen with Id 49
50,7,0,152,2,Some Random Commen with Id 50
51,7,0,143,4,Some Random Commen with Id 51
52,7,0,64,0,Some Random Commen with Id 52
53,7,0,54,3,Some Random Commen with Id 53
54,8,5,157,7,Some Random Commen with Id 54
55,8,5,45,8,Some Random Commen with Id 55
56,8,5,41,4,Some Random Commen with Id 56
57,8,5,137,5,Some Random Commen with Id 57
58,8,5,177,2,Some Random Commen with Id 58
59,8,5,194,1,Some Random Commen with Id 59
60,9,0,59,6,Some Random Commen with Id 60
61,9,0,167,9,Some Random Commen with Id 61
62,11,6,108,5,Some Random Commen with Id 62
63,11,6,161,1,Some Random Commen with Id 63
64,11,6,40,2,Some Random Commen with Id 64
65,11,6,54,7,Some Random Commen with Id 65
66,11,6,191,5,Some Random Commen with Id 66
67,11,6,190,7,Some Random Commen with Id 67
68,12,6,64,1,Some Random Commen with Id 68
69,12,6,49,2,Some Random Commen with Id 69
70,13,1,73,3,Some Random Commen with Id 70
71,13,1,69,1,Some Random Commen with Id 71
72,13,1,137,2,Some Random Commen with Id 72
73,14,7,128,7,Some Random Commen with Id 73
74,14,7,122,9,Some Random Commen with Id 74
75,14,7,193,7,Some Random Commen with Id 75
76,14,7,12,0,Some Random Commen with Id 76
77,14,7,85,0,Some Random Commen with Id 77
78,15,8,131,9,Some Random Commen with Id 78
79,15,8,114,3,Some Random Commen with Id 79
80,15,8,61,0,Some Random Commen with Id 80
81,15,8,139,5,Some Random Commen with Id 81
82,15,8,92,2,Some Random Commen with Id 82
83,15,8,185,8,Some Random Commen with Id 83
84,15,8,166,8,Some Random Commen with Id 84
85,15,8,62,8,Some Random Commen with Id 85
86,15,8,11,6,Some Random Commen with Id 86
87,16,0,48,7,Some Random Commen with Id 87
88,16,0,127,1,Some Random Commen with Id 88
89,16,0,138,2,Some Random Commen with Id 89
90,16,0,174,4,Some Random Commen with Id 90
91,16,0,108,2,Some Random Commen with Id 91
92,16,0,1,0,Some Random Commen with Id 92
93,16,0,20,0,Some Random Commen with Id 93
94,16,0,53,0,Some Random Commen with Id 94
95,17,3,181,8,Some Random Commen with Id 95
96,17,3,53,3,Some Random Commen with Id 96
97,17,3,176,5,Some Random Commen with Id 97
98,17,3,135,9,Some Random Commen with Id 98
99,18,5,173,5,Some Random Commen with Id 99
100,18,5,180,9,Some Random Commen with Id 100
101,18,5,180,9,Some Random Commen with Id 101
102,18,5,151,6,Some Random Commen with Id 102
103,18,5,148,6,Some Random Commen with Id 103
104,19,0,152,7,Some Random Commen with Id 104
105,19,0,20,0,Some Random Commen with Id 105
106,19,0,199,0,Some Random Commen with Id 106
107,21,3,58,8,Some Random Commen with Id 107
108,21,3,153,0,Some Random Commen with Id 108
109,21,3,26,4,Some Random Commen with Id 109
110,21,3,199,2,Some Random Commen with Id 110
111,21,3,13,9,Some Random Commen with Id 111
112,21,3,50,1,Some Random Commen with Id 112
113,22,5,121,8,Some Random Commen with Id 113
114,22,5,51,9,Some Random Commen with Id 114
115,22,5,115,6,Some Random Commen with Id 115
116,23,2,53,8,Some Random Commen with Id 116
117,23,2,174,0,Some Random Commen with Id 117
118,23,2,32,2,Some Random Commen with Id 118
119,23,2,136,3,Some Random Commen with Id 119
120,23,2,49,3,Some Random Commen with Id 120
121,23,2,199,4,Some Random Commen with Id 121
122,23,2,196,9,Some Random Commen with Id 122
123,23,2,45,5,Some Random Commen with Id 123
124,24,9,35,7,Some Random Commen with Id 124
125,24,9,103,2,Some Random Commen with Id 125
126,25,0,34,4,Some Random Commen with Id 126
127,26,8,91,9,Some Random Commen with Id 127
128,26,8,8,4,Some Random Commen with Id 128
129,26,8,160,0,Some Random Commen with Id 129
130,26,8,162,5,Some Random Commen with Id 130
131,26,8,18,8,Some Random Commen with Id 131
132,26,8,56,3,Some Random Commen with Id 132
133,27,6,32,2,Some Random Commen with Id 133
134,27,6,170,6,Some Random Commen with Id 134
135,27,6,179,6,Some Random Commen with Id 135
136,27,6,62,4,Some Random Commen with Id 136
137,27,6,95,8,Some Random Commen with Id 137
138,27,6,128,8,Some Random Commen with Id 138
139,28,1,107,2,Some Random Commen with Id 139
140,28,1,53,3,Some Random Commen with Id 140
141,28,1,0,7,Some Random Commen with Id 141
142,28,1,130,2,Some Random Commen with Id 142
143,28,1,36,1,Some Random Commen with Id 143
144,28,1,69,0,Some Random Commen with Id 144
145,28,1,171,1,Some Random Commen with Id 145
146,28,1,127,9,Some Random Commen with Id 146
147,29,9,144,8,Some Random Commen with Id 147
148,29,9,166,4,Some Random Commen with Id 148
149,29,9,74,0,Some Random Commen with Id 149
150,29,9,156,7,Some Random Commen with Id 150
151,29,9,114,9,Some Random Commen with Id 151
152,30,1,167,6,Some Random Commen with Id 152
153,30,1,168,5,Some Random Commen with Id 153
154,30,1,83,0,Some Random Commen with Id 154
155,30,1,37,6,Some Random Commen with Id 155
156,30,1,6,3,Some Random Commen with Id 156
157,30,1,173,8,Some Random Commen with Id 157
158,30,1,82,9,Some Random Commen with Id 158
159,30,1,117,5,Some Random Commen with Id 159
160,30,1,42,2,Some Random Commen with Id 160
161,31,4,59,2,Some Random Commen with Id 161
162,31,4,189,5,Some Random Commen with Id 162
163,31,4,44,9,Some Random Commen with Id 163
164,31,4,113,0,Some Random Commen with Id 164
165,31,4,186,0,Some Random Commen with Id 165
166,31,4,62,4,Some Random Commen with Id 166
167,31,4,180,4,Some Random Commen with Id 167
168,32,8,62,9,Some Random Commen with Id 168
169,32,8,31,6,Some Random Commen with Id 169
170,32,8,96,0,Some Random Commen with Id 170
171,32,8,136,0,Some Random Commen with Id 171
172,32,8,22,3,Some Random Commen with Id 172
173,32,8,181,4,Some Random Commen with Id 173
174,32,8,139,4,Some Random Commen with Id 174
175,32,8,169,4,Some Random Commen with Id 175
176,32,8,102,2,Some Random Commen with Id 176
177,33,7,199,6,Some Random Commen with Id 177
178,33,7,162,5,Some Random Commen with Id 178
179,33,7,59,8,Some Random Commen with Id 179
180,33,7,2,1,Some Random Commen with Id 180
181,33,7,10,9,Some Random Commen with Id 181
182,33,7,72,9,Some Random Commen with Id 182
183,34,0,170,5,Some Random Commen with Id 183
184,34,0,5,0,Some Random Commen with Id 184
185,34,0,119,3,Some Random Commen with Id 185
186,34,0,93,4,Some Random Commen with Id 186
187,34,0,94,8,Some Random Commen with Id 187
188,34,0,79,7,Some Random Commen with Id 188
189,34,0,187,9,Some Random Commen with Id 189
190,34,0,125,7,Some Random Commen with Id 190
191,34,0,28,9,Some Random Commen with Id 191
192,35,0,170,6,Some Random Commen with Id 192
193,35,0,96,1,Some Random Commen with Id 193
194,35,0,82,9,Some Random Commen with Id 194
195,35,0,46,6,Some Random Commen with Id 195
196,35,0,139,2,Some Random Commen with Id 196
197,35,0,108,4,Some Random Commen with Id 197
198,35,0,2,8,Some Random Commen with Id 198
199,35,0,111,7,Some Random Commen with Id 199
200,36,6,98,1,Some Random Commen with Id 200
201,36,6,62,5,Some Random Commen with Id 201
202,36,6,66,0,Some Random Commen with Id 202
203,36,6,15,5,Some Random Commen with Id 203
204,36,6,11,9,Some Random Commen with Id 204
205,36,6,91,6,Some Random Commen with Id 205
206,37,0,197,2,Some Random Commen with Id 206
207,37,0,70,1,Some Random Commen with Id 207
208,38,8,186,6,Some Random Commen with Id 208
209,38,8,145,6,Some Random Commen with Id 209
210,38,8,127,4,Some Random Commen with Id 210
211,38,8,114,7,Some Random Commen with Id 211
212,38,8,11,4,Some Random Commen with Id 212
